Id,SalePrice
1461,122391.24798557522
1462,151728.26001458976
1463,183097.36588030483
1464,193480.5050300467
1465,198548.19214682424
1466,174811.13169429736
1467,177698.95931145275
1468,165770.12955378607
1469,182784.10884824852
1470,120447.382472936
1471,199596.79565287777
1472,96223.14947212831
1473,94882.30454010687
1474,146607.5246149515
1475,116389.1509237856
1476,384540.77894730517
1477,247761.7805077448
1478,304034.3438029693
1479,296383.4891239081
1480,451644.5089912412
1481,318645.4608122331
1482,211264.69857335064
1483,175170.64230825324
1484,168470.9423588047
1485,183319.6737470589
1486,195428.58382830236
1487,332426.5632388499
1488,237690.44973868527
1489,198854.3987154997
1490,244951.21228906146
1491,189021.3190146252
1492,91973.9623892247
1493,191672.33552244803
1494,304501.0427227703
1495,282753.5279685763
1496,248461.6573896324
1497,177359.8446596235
1498,163710.52260679496
1499,160680.4056718726
1500,156692.22435738612
1501,171028.78786426227
1502,147910.17801605386
1503,288472.67984462215
1504,247716.87493758625
1505,223551.3990425712
1506,185592.10991220013
1507,258458.18832625262
1508,203391.7173108503
1509,161959.25855611765
1510,146555.9455451491
1511,146663.97711223803
1512,172559.813816354
1513,146071.47085269296
1514,152437.0269742704
1515,186722.6633866834
1516,154745.59819870762
1517,165441.76276919607
1518,128797.54192372478
1519,221374.8094347522
1520,129617.88580400849
1521,134442.0592107833
1522,171476.42446142234
1523,112207.57862580029
1524,120182.28360762559
1525,123950.03550299689
1526,111137.35964463445
1527,105261.35949086286
1528,140153.46171982572
1529,148005.23635418466
1530,177615.5601618892
1531,108196.47887998611
1532,96741.1848022082
1533,139461.99769205265
1534,126187.03543948129
1535,149077.16182006078
1536,110716.65356176379
1537,67158.64656451136
1538,148405.07158057988
1539,199744.6697971705
1540,98102.8842510462
1541,136411.9018154876
1542,140963.1804742557
1543,189698.2219547176
1544,85302.75291556487
1545,111815.9802022543
1546,131879.1016383048
1547,129548.724924497
1548,136605.0186820716
1549,122126.26944264433
1550,138184.55970635315
1551,109959.61667039132
1552,140365.15767177887
1553,150753.19306479214
1554,116609.99511844234
1555,161900.77106413455
1556,90561.0686729111
1557,107634.74936271162
1558,99002.25886163881
1559,78815.597717963
1560,135149.62799254002
1561,121050.76097005219
1562,134346.68259794745
1563,123599.80699619204
1564,152554.65408498273
1565,151399.47562962084
1566,238154.74645675955
1567,79057.4821278672
1568,238511.73977888474
1569,130700.8264085627
1570,144113.44420184466
1571,116577.61370963938
1572,144232.09600048335
1573,237649.57376442102
1574,121074.43206821036
1575,224667.36383921662
1576,248420.80962971534
1577,188035.25851928565
1578,152975.0094361919
1579,140669.1887515526
1580,191902.00630597485
1581,154642.41901545646
1582,126270.93636720403
1583,304281.2315438398
1584,225225.74606700358
1585,138268.7884634215
1586,65973.95169300446
1587,102624.19420126335
1588,151152.01598425856
1589,93021.34036182618
